,Restaurant,Latitude,Longitude
123,Tribe Restaurant,1.288543,103.851054
124,The Fullerton Hotel Singapore Festive Store,1.286265965,103.8526989
125,The Living Cafe - Collyer Quay,1.2852791,103.852674303637
126,&Made Gourmet Burgers,1.2913216,103.850083
127,Ricciotti,1.2892158391798627,103.84854476261046
128,Hitokuchi Onigiri,1.284185,103.850272
129,The Penny Black Victorian London Pub,1.28565556610716,103.849698171566
130,Yakiniku Shokudo,1.2913524,103.8501395
131,The Mask,1.2871178104873982,103.8488807260703
132,Dopa Dopa Creamery,1.2878,103.848611
133,Deli Belly,1.291403,103.851529
134,Qi Qi,1.2868414,103.84787706
135,The Green Collective SG,1.29106578346931,103.85038604662
136,Endless,1.287865912,103.8490046
137,Mellow,1.288452,103.848968
138,Charlie's Restaurant & Bar,1.28614,103.84989333333333
139,Re.juve,1.284185,103.850272
140,Wine Connection,1.283822,103.852681
141,Nanyang Chicken,1.2871673745712886,103.848049
142,Carvers X,1.2910662,103.85038604662
143,BQ Bar,1.2865752707440663,103.84972304799147
144,Mayo St Mookata,1.2900246,103.8518534
145,Perfect 7 Pte. Ltd.,1.2841851,103.850272475857
146,Dumpling Darlings,1.2874752595862589,103.84882493289945
147,Un-Yang-Kor-Dai,1.2871979,103.84811196527582
148,Pasta Fresca Da Salvatore,1.2860875148082518,103.8498811912407
149,Shangdong Restaurant,1.2878081535179422,103.8493476
150,Wild Child Pizzette,1.28594,103.84959
151,Tandoori Zaika,1.2879324,103.849367
152,Ramen Matsuri,1.285855,103.848906
153,The Sandwich Shop,1.2842471760851975,103.8525017513587
154,Yan Ji Gourmet Seafood Soup,1.29131,103.850432
155,Flo Dining,1.2903829531375,103.849297971757
156,Kinara,1.2873507,103.8493375
157,Mr. Coconut,1.284162,103.851186
158,Hot Shotz,1.286330684,103.8494259
159,Thaitanium,1.287421,103.848706
160,Humble Bakery,1.284302274,103.8509881
161,Upshot Coffee,1.284898274,103.8513931
162,The Salad Shop,1.28501646306785,103.850796282207
163,FlowerEmpire.sg Pte Ltd,1.2903829531375,103.849297971757
164,Joah Korean Restaurant,1.28495094565484,103.851051262433
165,PENG 鹏 Tiong Bahru Wanton Mee,1.2848757010405207,103.85026684726591
166,#Foodcoholic,1.2866722478159125,103.84933102607127
167,Fat Bao Bao,1.2903829531375,103.849297971757
168,Mr Holmes Bakehouse,1.285386627,103.8525264
169,Toast Box,1.2847615961954273,103.84985212857143
170,Killiney Kopitiam,1.2867425,103.8486574
171,Yi En Vegetarian,1.2842383803367068,103.85021891876637
172,Salad Co.Sg,1.2842275499627436,103.85021863663341
173,Namino Hana,1.2842071997500584,103.85120703339157
174,Huay Kwang Beef & Beer,1.2861201,103.84870056666666
175,Monster Planet,1.283842811,103.8526917
176,Adam Road Mee Soto,1.283814,103.852717
177,Empress,1.2871855,103.8512007
178,Hack It Seafood,1.289282,103.848307
179,Tong Fu Ju,1.2870869,103.8493938
180,Bee Kee Truffle Wanton Noodle,1.2848815243836065,103.85026225030562
181,Double Zero,1.287320684,103.8479759
182,Overeasy x Loof,1.2857264081488569,103.85390716784332
183,Los Amigos Taqueria,1.287441,103.84886172
184,Bombay Grill - Authentic Indian Restaurant,1.287599179278319,103.84824392228902
185,The Working Class,1.28712,103.84901
186,Gin Khao,1.284133,103.850974
187,Hello Korean Bbq,1.286049632996523,103.8494082089253
188,Hot Kitchen The Quality Dining,1.287587658020642,103.84825924194568
189,A Gan Guo Kui,1.2912506453488373,103.85026020000001
190,Curry Home,1.28734945,103.84929942500001
191,Rubato,1.28769,103.8492
192,Tuca Restaurant,1.2863031,103.8497744
193,Vespetta Italian Restaurant,1.28650925,103.84960121600288
194,Pilcrow,1.287490684,103.8491959
195,Boat Quay Mix & Match - Beta,1.2864533288302482,103.84961838187411
196,Ronin,1.286890684,103.8493059
197,Yabai Izakaya,1.287340684,103.8491959
198,Jamaica Blue,1.2849413083333334,103.85083720126401
199,Marks & Spencer,1.2839178,103.8511279
200,Beng Thin Hoon Kee,1.28546774398166,103.849360399838
201,Spices & Curries,1.2899945,103.84954636500001
202,National Kitchen by Violet Oon,1.2910203,103.851952
203,The Supplement Haven,1.286415084,103.8489846
204,Peach Garden,1.2854056,103.8493107
205,Legendary Bak Kut Teh,1.287758,103.84844771
206,Omotenashi Dining Gosso,1.28765618,103.84936619999999
207,Ba Ge Chuan Chuan,1.28729594140533,103.848183390127
208,Basque Kitchen by Aitor,1.2870879,103.8534701
209,1826,1.28608,103.84983
210,Man Xiang Lor Mee,1.28418541529456,103.850272475857
211,Village Nasi Lemak Bar,1.2860617,103.8493161
212,Naga House,1.286688284,103.8484137
213,Tom Yum Kung Fu,1.2874854,103.8488753
214,Rabbit Brand Seafood Delicacies,1.2877078,103.8488717
215,Hermano By Sleeping Giants,1.2873937472245722,103.84883201282128
216,The Great Mischief,1.291183,103.851917
217,Le Tian Tian,1.2840216,103.8510695
218,Two Wings,1.2912102,103.8503448
219,Bistro Aseana,1.2865400333333332,103.85420394817982
220,Seriously Coffee,1.2838534287519288,103.85270285289084
221,Don Jr,1.291066,103.850386
222,Yatagarasu,1.286613,103.849058
223,Dazzling Delish,1.286582944,103.8492159
224,O2 Bistro,1.28608714070694,103.84871258957
225,The Taste of Bharath,1.2906387834337985,103.84934126098733
226,Szechwings,1.287512682,103.8489149
227,Dimbulah Grains,1.2846249,103.8497928
228,NOKA,1.2912877666666667,103.850257
229,The Hitsuji Club,1.286372,103.84918
230,Biryani Bae,1.28735388,103.84934126557049
231,Jidai,1.28781967,103.849009
232,Ikigai Izakaya,1.288854527,103.8481226
233,Ju95,1.286560684,103.8494459
234,About Thai Siam Nakorn - Phillip Street,1.284572,103.84973
235,53 Galaxy Space,1.287350684,103.8482109
236,Tong Xin Ru Yi,1.286922525,103.84877415
